524,3
201,6
469,6
275,6
107,8
714,9
912,9
323,12
414,12
385,17
237,18
449,17
508,20
307,19
431,19
463,17
590,18
417,23
684,25
296,26
399,27
762,29
165,33
882,33
473,37
93,43
681,43
473,45
412,46
569,47
608,50
870,49
64,54
918,54
105,58
436,57
451,60
316,63
696,65
198,69
280,72
260,74
988,71
597,76
710,78
922,80
577,80
217,82
335,82
252,87
618,88
904,90
996,91
421,95
266,97
308,102
568,102
815,99
276,101
457,106
955,108
133,111
179,108
678,113
883,114
535,112
702,124
460,122
387,124
642,126
772,129
442,133
373,141
930,142
795,142
323,148
649,147
392,148
216,156
232,156
659,156
616,162
823,164
318,166
833,163
459,165
656,170
61,169
138,171
205,174
716,176
467,174
647,176
316,178
609,180
198,177
836,179
598,184
736,182
72,186
373,186
232,186
491,192
40,194
402,196
937,197
502,198
707,199
886,199
307,201
515,199
120,201
743,203
481,206
499,208
316,209
358,211
378,210
749,218
883,224
90,226
245,227
358,233
991,230
969,233
188,234
503,231
892,234
712,235
65,238
704,238
800,238
376,242
454,242
645,241
401,247
311,245
829,248
92,247
199,247
635,249
812,254
366,253
469,257
370,256
418,258
240,262
651,260
835,258
225,261
517,263
407,262
705,261
192,262
643,264
687,266
811,264
901,266
854,270
546,266
7,271
503,269
39,273
964,278
779,278
87,280
82,289
330,292
362,292
963,293
218,298
381,299
445,297
702,300
940,302
241,301
302,307
123,306
941,311
441,308
41,315
861,319
601,317
341,320
497,321
380,323
210,323
753,331
904,331
260,331
420,330
851,332
693,337
876,335
163,336
969,343
896,344
75,344
420,350
355,352
212,353
128,352
369,360
628,360
53,363
253,363
166,361
183,365
480,363
910,363
579,371
38,372
810,373
33,375
197,374
188,381
235,385
283,387
533,386
514,388
944,389
305,390
243,396
304,397
121,396
624,398
710,402
75,404
180,409
374,411
723,416
955,416
36,416
331,417
153,422
56,426
714,426
886,428
341,429
446,428
329,428
580,435
636,432
94,432
624,438
658,437
129,439
680,442
119,442
798,444
252,445
569,444
584,450
91,449
937,452
177,451
930,454
99,454
345,456
63,456
484,454
919,457
81,458
871,461
863,460
167,463
7,463
100,466
897,466
592,470
709,472
303,477
63,473
131,476
50,481
106,481
832,480
417,480
83,484
650,484
804,485
613,489
983,489
547,490
43,493
234,493
894,495
374,500
433,500
29,500
950,505
258,505
306,505
367,504
480,505
151,504
807,505
773,507
110,510
372,508
359,511
792,510
14,512
611,515
286,514
643,515
737,519
553,522
623,521
296,522
75,525
13,525
409,529
421,530
560,533
